日期,订单编号,下单时间,接单时长,店铺名称,店铺ID,店铺所在城市,订单支付类型,订单状态,订单配送状态,是否预订单,订单总金额,订单折扣后金额,平台承担活动金额,商家承担活动金额,商品分类,商品名称,UPC码,商品SKU码,商品销售数量,商品原价销售额,商品实付销售额,商品总补贴金额,商品商家补贴金额,商品平台补贴金额,是否部分退款商品,部分退款商品数量,部分退款商品金额,订单小额付款,配送费,是否活动订单,优惠活动,是否催单,回复状态,商家回复内容,配送时长,打包袋费,订单完成时间,订单取消原因（仅取消订单）
"	20240101-20240428","300889114249843998	","2024-01-08 10:34:03	",0秒,"花简（中心路店）	","15302538	","衡水	",在线支付,订单取消,用户提交订单,否,0.01,0.01,0,0,"心心心心	",美少女,,"222222222	",1,0.01,0.01,0,0,0,否,0,0,0,0,否,,否,未回复,,0.00分,0,,"其他	"
"	20240101-20240428","300896653004232494	","2024-01-13 16:18:46	",0秒,"花简（中心路店）	","15302538	","衡水	",在线支付,订单取消,用户提交订单,否,98,98,0,0,"水果花束?	",中秋佳节/创意花束-【石分喜欢】3枝卡布奇诺3个石榴搭配多头泡泡喷泉草中秋节创意水果花束花,,"zqjhs10	",1,98,98,0,0,0,否,0,0,0,0,否,,否,未回复,,0.00分,0,,"其他	"
"	20240101-20240428","300903591406434353	","2024-01-18 11:57:38	",0秒,"花简（中心路店）	","15302538	","衡水	",在线支付,订单取消,用户提交订单,否,0.03,0.03,0,0,"心心心心	",美少女,,"au23666sdf	",3,0.03,0.03,0,0,0,否,0,0,0,0,否,,否,未回复,,0.00分,0,,"其他	"
"	20240101-20240428","300903740395503249	","2024-01-18 14:26:38	",175秒,"花简（中心路店）	","15302538	","衡水	",在线支付,订单完成,用户提交订单,否,0.02,0.02,0,0,"心心心心	",美少女,,"au23666sdf	",2,0.02,0.02,0,0,0,是,1,0.01,0,0,否,,否,未回复,,0.00分,0,"2024-01-19 15:26:51	",
"	20240101-20240428","300926940597623333	","2024-02-03 17:09:40	",0秒,"花简（中心路店）	","15302538	","衡水	",在线支付,订单取消,用户提交订单,否,1.01,1.01,0,0,"心心心心	",美少女,,"au23666sdf	",1,0.01,0.01,0,0,0,否,0,0,0,0,否,,否,未回复,,0.00分,0,,"其他	"
"	20240101-20240428","300926940597623333	","2024-02-03 17:09:40	",0秒,"花简（中心路店）	","15302538	","衡水	",在线支付,订单取消,用户提交订单,否,1.01,1.01,0,0,"测试分类	",ce40,,"40	",1,0,0,0,0,0,否,0,0,0,0,否,,否,未回复,,0.00分,0,,"其他	"
"	20240101-20240428","300926952876190422	","2024-02-03 17:11:12	",0秒,"花简（中心路店）	","15302538	","衡水	",在线支付,订单取消,用户提交订单,否,1.01,1.01,0,0,"心心心心	",美少女,,"au23666sdf	",1,0.01,0.01,0,0,0,否,0,0,0,0,否,,否,未回复,,0.00分,0,,"其他	"
"	20240101-20240428","300926952876190422	","2024-02-03 17:11:12	",0秒,"花简（中心路店）	","15302538	","衡水	",在线支付,订单取消,用户提交订单,否,1.01,1.01,0,0,"测试分类	",ce40,,"40	",1,0,0,0,0,0,否,0,0,0,0,否,,否,未回复,,0.00分,0,,"其他	"
"	20240101-20240428","300926952568101334	","2024-02-03 17:15:52	",53秒,"花简（中心路店）	","15302538	","衡水	",在线支付,订单取消,已取消,否,1.01,1.01,0,0,"心心心心	",美少女,,"au23666sdf	",1,0.01,0.01,0,0,0,否,0,0,0,0,否,,否,未回复,,0.00分,0,,"其他	"
"	20240101-20240428","300926952568101334	","2024-02-03 17:15:52	",53秒,"花简（中心路店）	","15302538	","衡水	",在线支付,订单取消,已取消,否,1.01,1.01,0,0,"测试分类	",ce40,,"40	",1,0,0,0,0,0,否,0,0,0,0,否,,否,未回复,,0.00分,0,,"其他	"
